ANNO       CAUSA_113                                                    NOME_CAUSA                     STATO                     DECESSI      RATE       MIO_VAL    CANC LOGICA
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         United States             12345        49.4       11         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Alabama                   2703         53.8       12         true      
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Alaska                    436          63.7       19         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Arizona                   4184         56.2       19         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Arkansas                  1625         51.8       13         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         California                13840        33.2       16         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Colorado                  3037         53.6       13         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Connecticut               2078         53.2       10         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Delaware                  608          61.9       19         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         District of Columbia      427          61.0       14         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Florida                   13059        56.1       19         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Georgia                   4712         45.2       10         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Hawaii                    585          35.7       17         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Idaho                     876          49.8       13         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Illinois                  6019         44.4       16         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Indiana                   3978         58.7       18         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Iowa                      1536         42.8       12         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Kansas                    1567         49.4       17         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Kentucky                  3264         72.9       12         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Louisiana                 2780         58.9       17         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Maine                     990          68.0       14         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Maryland                  2408         36.9       14         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Massachusetts             3821         51.5       11         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Michigan                  5623         53.0       11         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Minnesota                 2788         44.6       10         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Mississippi               1738         56.3       11         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Missouri                  3776         58.8       18         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Montana                   579          50.2       19         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Nebraska                  811          38.5       20         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         Nevada                    1496         47.8       12         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         New Hampshire             907          62.9       10         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         New Jersey                4482         47.3       13         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         New Mexico                1460         68.3       14         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         New York                  7687         35.5       20         false     
2017       "Accidents (unintentional injuries) (V01-X59,Y85-Y86)"       Unintentional injuries         North Carolina            5985         56.3       20         false     
